method,n_series,n_time_points,n_predictions,total_seconds,total_seconds_std,seconds_per_series,seconds_per_prediction,runtime_source
Physics simulator,150,783,117450,0.00710843333217781,0.00019846856247239154,4.738955554785207e-05,6.052305944808694e-08,measured_now
Physics simulator,300,783,234900,0.017799199995351955,0.0002174424204703849,5.9330666651173185e-05,7.577352062729653e-08,measured_now
Physics simulator,600,783,469800,0.03637430000041301,0.0002991923238437297,6.062383333402168e-05,7.742507450066626e-08,measured_now
Physics simulator,1000,783,783000,0.06275459999839465,0.0005140588105122634,6.275459999839465e-05,8.014636015120645e-08,measured_now
Physics simulator,2000,783,1566000,0.134038799990473,0.00046153439985284386,6.70193999952365e-05,8.559310344219221e-08,measured_now
Physics simulator,5000,783,3915000,0.33683463333485025,0.006881557831023592,6.736692666697005e-05,8.603694338054923e-08,measured_now
MLP,150,731,109650,0.011550000000473423,0.0017234640498729255,7.700000000315615e-05,1.0533515732305904e-07,measured_now
MLP,300,731,109800,0.004085666660103016,0.002747344370939325,1.3618888867010051e-05,3.721007887161216e-08,measured_now
MLP,600,731,110100,0.0013879666657885537,0.00017556510043189794,2.3132777763142562e-06,1.260641839953273e-08,measured_now
MLP,1000,731,110500,0.0019242333316166575,8.23343693606571e-05,1.9242333316166574e-06,1.7413876304223146e-08,measured_now
