method,runtime_type,n_series,n_time_points,n_predictions,model_loading_seconds,data_preparation_seconds,inference_seconds,aggregation_seconds,total_seconds,total_seconds_std,inference_seconds_std,seconds_per_series,seconds_per_time_point,seconds_per_prediction,seconds_per_population_trajectory,n_passes,runtime_source,hardware_summary,notes
Physics simulator,end_to_end,150,783,117450,0.0,0.0,0.008186766664342334,0.0,0.008186766664342334,7.455223171995262e-05,7.455223171995262e-05,5.4578444428948895e-05,1.0455640695200938e-05,6.970427130133958e-08,0.008186766664342334,1,measured_now,"{""torch_version"": ""2.6.0+cu124"", ""cuda_available"": true, ""cuda_version"": ""12.4"", ""cudnn_version"": 90100, ""gpu_count"": 1, ""gpus"": [""NVIDIA GeForce RTX 4060""]}",Vectorized apparent-diffusivity simulator; full 783-step trajectories per series.
Logistic Regression,end_to_end,150,731,109650,0.0,0.4397836999996798,0.019745900004636496,0.0,0.4595296000043163,0.0,0.0011874415854783889,0.003063530666695442,0.0006286314637541947,4.190876425027964e-06,0.4595296000043163,1,measured_now,"{""torch_version"": ""2.6.0+cu124"", ""cuda_available"": true, ""cuda_version"": ""12.4"", ""cudnn_version"": 90100, ""gpu_count"": 1, ""gpus"": [""NVIDIA GeForce RTX 4060""]}",No persisted checkpoint; one in-memory fit on locked train split for forward-pass timing only.
Logistic Regression,inference_only,150,731,109650,0.0,0.0,0.010459333328374973,0.0,0.010459333328374973,0.0,0.0003355714177123335,6.972888885583316e-05,1.4308253527188746e-05,9.538835684792497e-08,0.010459333328374973,1,measured_now,"{""torch_version"": ""2.6.0+cu124"", ""cuda_available"": true, ""cuda_version"": ""12.4"", ""cudnn_version"": 90100, ""gpu_count"": 1, ""gpus"": [""NVIDIA GeForce RTX 4060""]}",Inference-only; excludes train-fit and Pf aggregation.
MLP,end_to_end,150,731,109650,0.06857859999581706,0.005409899997175671,0.0616711333374648,0.0,0.13565963333045752,0.0,0.07283745338469393,0.0009043975555363835,0.0001855808937489159,1.237205958326106e-06,0.13565963333045752,1,measured_now,"{""torch_version"": ""2.6.0+cu124"", ""cuda_available"": true, ""cuda_version"": ""12.4"", ""cudnn_version"": 90100, ""gpu_count"": 1, ""gpus"": [""NVIDIA GeForce RTX 4060""]}",Checkpoint: final_mlp_seed20250111.pt; batch=all points.
MLP,inference_only,150,731,109650,0.0,0.0,0.0012761999969370663,0.0,0.0012761999969370663,0.0,0.00011607661125799183,8.507999979580442e-06,1.7458276291888731e-06,1.1638850861259154e-08,0.0012761999969370663,1,measured_now,"{""torch_version"": ""2.6.0+cu124"", ""cuda_available"": true, ""cuda_version"": ""12.4"", ""cudnn_version"": 90100, ""gpu_count"": 1, ""gpus"": [""NVIDIA GeForce RTX 4060""]}",Forward pass only.
GRU,end_to_end,150,731,109650,0.006421400001272559,0.2643419999949401,8.10163730000689,0.0,8.372400700003103,0.0,0.35765990806922476,0.055816004666687354,0.011453352530783998,7.635568353855999e-05,8.372400700003103,1,measured_now,"{""torch_version"": ""2.6.0+cu124"", ""cuda_available"": true, ""cuda_version"": ""12.4"", ""cudnn_version"": 90100, ""gpu_count"": 1, ""gpus"": [""NVIDIA GeForce RTX 4060""]}",Checkpoint: final_gru_seed20250111.pt; batch=64.
GRU,inference_only,150,731,109650,0.0,0.0,1.6338830333358298,0.0,1.6338830333358298,0.0,0.031065792675382557,0.010892553555572199,0.002235134108530547,1.4900894056870314e-05,1.6338830333358298,1,measured_now,"{""torch_version"": ""2.6.0+cu124"", ""cuda_available"": true, ""cuda_version"": ""12.4"", ""cudnn_version"": 90100, ""gpu_count"": 1, ""gpus"": [""NVIDIA GeForce RTX 4060""]}",Forward pass only.
TFT (deterministic),end_to_end,150,731,109650,0.49669110000832006,0.8500946999993175,46.36239519999557,0.0,47.709181000003205,0.0,0.177715032526844,0.318061206666688,0.06526563748290452,0.0004351042498860301,47.709181000003205,1,measured_now,"{""torch_version"": ""2.6.0+cu124"", ""cuda_available"": true, ""cuda_version"": ""12.4"", ""cudnn_version"": 90100, ""gpu_count"": 1, ""gpus"": [""NVIDIA GeForce RTX 4060""]}",Checkpoint: best.ckpt; batch=128.
TFT (deterministic),inference_only,150,731,109650,0.0,0.0,44.599777733334726,0.0,44.599777733334726,0.0,0.26432016108077167,0.29733185155556485,0.06101200784313916,0.0004067467189542611,44.599777733334726,1,measured_now,"{""torch_version"": ""2.6.0+cu124"", ""cuda_available"": true, ""cuda_version"": ""12.4"", ""cudnn_version"": 90100, ""gpu_count"": 1, ""gpus"": [""NVIDIA GeForce RTX 4060""]}",Forward pass only.
TFT (50-pass MC Dropout),end_to_end,150,731,109650,,,5964.6,,5964.6,0.0,0.0,39.764,8.159507523939808,0.054396716826265394,5964.6,50,benchmark_log,"{""torch_version"": ""2.6.0+cu124"", ""cuda_available"": true, ""cuda_version"": ""12.4"", ""cudnn_version"": 90100, ""gpu_count"": 1, ""gpus"": [""NVIDIA GeForce RTX 4060""]}",From formal 50-pass MC Dropout report (5964.6 s total; 119.29 s/pass). 100-pass convergence rerun reported 6678.4 s total (66.78 s/pass); difference likely reflects resume/cache/environment rather than model change.
TFT (50-pass MC Dropout),inference_only,150,731,109650,0.0,0.0,5964.6,0.0,5964.6,0.0,0.0,39.764,8.159507523939808,0.054396716826265394,5964.6,50,benchmark_log,"{""torch_version"": ""2.6.0+cu124"", ""cuda_available"": true, ""cuda_version"": ""12.4"", ""cudnn_version"": 90100, ""gpu_count"": 1, ""gpus"": [""NVIDIA GeForce RTX 4060""]}",Stochastic forward passes only; excludes one-time checkpoint load.
