model,seed,MAE,RMSE,max_abs_error,final_year_abs_error,parameter_count,training_time_seconds,pure_inference_time_seconds,evaluation_time_points,year_of_max_error,evaluation_start_year,evaluation_end_year,epochs,best_epoch,best_validation_loss,checkpoint_path
Logistic Regression,,0.0206522895549379,0.0242712117699126,0.0529769135691355,0.0511924878196919,8.0,,,731,,,,,,,
GRU,20250111.0,0.0018392590889095,0.0028756675364805,0.0141601398455191,0.00385920048105,,,,731,,,,,,,
GRU,20250112.0,0.0021715577091917,0.0032081954990206,0.0131517424213752,0.001435821832403,,,,731,,,,,,,
GRU,20250113.0,0.0017900676830045,0.0027104525920204,0.011343127394352,0.0006639859765332,,,,731,,,,,,,
TFT,20250111.0,0.0045434287268037,0.0063816763489949,0.0241231907171912,0.0013465298957847,,,,731,,,,,,,
TFT,20250112.0,0.0048606190394588,0.0071641229252548,0.0288648939616499,0.0035333419701419,,,,731,,,,,,,
TFT,20250113.0,0.0042216237650024,0.005574644175069,0.0182220595585427,0.0031168548989626,,,,731,,,,,,,
MLP,20250111.0,0.0071043697889357,0.0094403480508222,0.0308996793550564,0.0052834168065735,135437.0,233.60915399999976,2.9004268999997294,731,41.01300479123888,3.98631074606434,59.94798083504449,11.0,4.0,0.0188964931322524,outputs/revision/checkpoints/final_mlp_seed20250111.pt
MLP,20250112.0,0.0079354717838308,0.0117874769678047,0.0398984190351064,0.0072922312067013,135437.0,203.1469860000002,2.533446599999934,731,36.10677618069816,3.98631074606434,59.94798083504449,10.0,3.0,0.0183367805409139,outputs/revision/checkpoints/final_mlp_seed20250112.pt
MLP,20250113.0,0.0058840120918992,0.0086633572724091,0.0335784009805139,0.0020136308045579,135437.0,304.69226849999995,2.5411567000001014,731,36.10677618069816,3.98631074606434,59.94798083504449,15.0,8.0,0.0178542343680479,outputs/revision/checkpoints/final_mlp_seed20250113.pt
Windowed Logistic Regression,,0.020211907440755787,0.023822666523019863,0.05197882153662656,0.0487649291545274,4745.0,37.575744199999974,3.430970400000035,731,41.01300479123888,3.9863107460643397,59.94798083504449,,,,outputs/revision/checkpoints/final_windowed_logistic_regression.joblib
