parameter,time_year,response_type,S1,S1_conf,ST,ST_conf,rank_S1,rank_ST,Pf_at_time,binary_variance
Cs,20.0,binary_initiation,-0.002654720424755267,0.032580965764424895,0.24218773096821886,0.06487933313434666,4.0,3.0,0.05775669642857143,0.054420860446229256
D28,20.0,binary_initiation,0.023793535152420178,0.02286422684965118,0.2378629500580721,0.060993672178066935,3.0,4.0,0.05775669642857143,0.054420860446229256
m_aging,20.0,binary_initiation,0.06569950374828426,0.047383875648880296,0.5319480519480522,0.09181785314799784,2.0,2.0,0.05775669642857143,0.054420860446229256
cover_mm,20.0,binary_initiation,0.34947946362580523,0.10134078550943745,0.8692809629394999,0.10318248895007998,1.0,1.0,0.05775669642857143,0.054420860446229256
Ccrit,20.0,binary_initiation,-0.007150851471408965,0.016713381120310195,0.1773160173160174,0.05646013355348663,5.0,5.0,0.05775669642857143,0.054420860446229256
Cs,40.0,binary_initiation,0.01723599293828548,0.02168814529539823,0.14277746793084214,0.025851848169646797,3.0,3.0,0.20598493303571427,0.16355514039798663
D28,40.0,binary_initiation,0.007689259400592947,0.02494205621533269,0.12774826078022722,0.027754505447975968,4.0,4.0,0.20598493303571427,0.16355514039798663
m_aging,40.0,binary_initiation,0.05720093597071318,0.03306348870503762,0.3742272580503127,0.04222953274608028,2.0,2.0,0.20598493303571427,0.16355514039798663
cover_mm,40.0,binary_initiation,0.5319439843333934,0.05987957547005962,0.8852203011712214,0.05253564500790418,1.0,1.0,0.20598493303571427,0.16355514039798663
Ccrit,40.0,binary_initiation,0.006630840905945847,0.021885379469893492,0.10069568790912026,0.02420870410993274,5.0,5.0,0.20598493303571427,0.16355514039798663
Cs,60.0,binary_initiation,0.0033680569136430214,0.02157309466167421,0.10902943464448527,0.019447838526955682,5.0,5.0,0.32240513392857145,0.21846006354507136
D28,60.0,binary_initiation,0.013922026223039247,0.021191841082651295,0.12349252291365168,0.023856408371405458,3.0,3.0,0.32240513392857145,0.21846006354507136
m_aging,60.0,binary_initiation,0.08677852961499848,0.037723312202526504,0.35156429946589135,0.03634202735677983,2.0,2.0,0.32240513392857145,0.21846006354507136
cover_mm,60.0,binary_initiation,0.5999111577982779,0.05947074769059733,0.8933738369338947,0.04632788151382865,1.0,1.0,0.32240513392857145,0.21846006354507136
Ccrit,60.0,binary_initiation,0.010906606420354611,0.01900174921840016,0.1123670703989083,0.019644064688779207,4.0,4.0,0.32240513392857145,0.21846006354507136
